district,date,month,year,visitors
Mahabubabad ,01-09-2016,September,2016,0
Mahabubabad ,01-10-2016,October,2016,13032
Mahabubabad ,01-11-2016,November,2016,114015
Mahabubabad ,01-12-2016,December,2016,12955
Mahbubnagar,01-01-2016,January,2016,577071
Mahbubnagar,01-02-2016,February,2016,1312068
Mahbubnagar,01-03-2016,March,2016,1731983
Mahbubnagar,01-04-2016,April,2016,622432
Mahbubnagar,01-05-2016,May,2016,571898
Mahbubnagar,01-06-2016,June,2016,561006
Mahbubnagar,01-07-2016,July,2016,562322
Mahbubnagar,01-08-2016,August,2016,1133105
Mahbubnagar,01-09-2016,September,2016,567712
Mahbubnagar,01-10-2016,October,2016,198592
Mahbubnagar,01-11-2016,November,2016,256375
Mahbubnagar,01-12-2016,December,2016,210202
Mancherial,01-01-2016,January,2016,0
Mancherial,01-02-2016,February,2016,0
Mancherial,01-03-2016,March,2016,0
Mancherial,01-04-2016,April,2016,0
Mancherial,01-05-2016,May,2016,0
Mancherial,01-06-2016,June,2016,0
Mancherial,01-07-2016,July,2016,0
Mancherial,01-08-2016,August,2016,0
Mancherial,01-09-2016,September,2016,0
Mancherial,01-10-2016,October,2016,3124
Mancherial,01-11-2016,November,2016,2255
Mancherial,01-12-2016,December,2016,2423
Medak ,01-01-2016,January,2016,92600
Medak ,01-02-2016,February,2016,215000
Medak ,01-03-2016,March,2016,1318000
Medak ,01-04-2016,April,2016,300000
Medak ,01-05-2016,May,2016,198000
Medak ,01-06-2016,June,2016,166700
Medak ,01-07-2016,July,2016,153300
Medak ,01-08-2016,August,2016,216100
Medak ,01-09-2016,September,2016,132600
Medak ,01-10-2016,October,2016,15600
Medak ,01-11-2016,November,2016,132300
Medak ,01-12-2016,December,2016,523000
Medchal ,01-01-2016,January,2016,0
Medchal ,01-02-2016,February,2016,0
Medchal ,01-03-2016,March,2016,0
Medchal ,01-04-2016,April,2016,0
Medchal ,01-05-2016,May,2016,0
Medchal ,01-06-2016,June,2016,0
Medchal ,01-07-2016,July,2016,0
Medchal ,01-08-2016,August,2016,0
Medchal ,01-09-2016,September,2016,0
Medchal ,01-10-2016,October,2016,0
Medchal ,01-11-2016,November,2016,0
Medchal ,01-12-2016,December,2016,0
Nagarkurnool ,01-01-2016,January,2016,0
Nagarkurnool ,01-02-2016,February,2016,0
Nagarkurnool ,01-03-2016,March,2016,0
Nagarkurnool ,01-04-2016,April,2016,0
Nagarkurnool ,01-05-2016,May,2016,0
Nagarkurnool ,01-06-2016,June,2016,0
Nagarkurnool ,01-07-2016,July,2016,0
Nagarkurnool ,01-08-2016,August,2016,0
Nagarkurnool ,01-09-2016,September,2016,0
Nagarkurnool ,01-10-2016,October,2016,201050
Nagarkurnool ,01-11-2016,November,2016,188786
Nagarkurnool ,01-12-2016,December,2016,198637
Nalgonda,01-01-2016,January,2016,566515
Nalgonda,01-02-2016,February,2016,539467
Nalgonda,01-03-2016,March,2016,619462
Nalgonda,01-04-2016,April,2016,601253
Nalgonda,01-05-2016,May,2016,628872
Nalgonda,01-06-2016,June,2016,551239
Nalgonda,01-07-2016,July,2016,582820
Nalgonda,01-08-2016,August,2016,988102
Nalgonda,01-09-2016,September,2016,742402
Nalgonda,01-10-2016,October,2016,3508
Nalgonda,01-11-2016,November,2016,21046
Nalgonda,01-12-2016,December,2016,13775
Nirmal,01-01-2016,January,2016,0
Nirmal,01-02-2016,February,2016,0
Nirmal,01-03-2016,March,2016,0
Nirmal,01-04-2016,April,2016,0
Nirmal,01-05-2016,May,2016,0
Nirmal,01-06-2016,June,2016,0
Nirmal,01-07-2016,July,2016,0
Nirmal,01-08-2016,August,2016,0
Nirmal,01-09-2016,September,2016,0
Nirmal,01-10-2016,October,2016,475955
Nirmal,01-11-2016,November,2016,201388
Nirmal,01-12-2016,December,2016,239267
Nizamabad,01-01-2016,January,2016,576
Nizamabad,01-02-2016,February,2016,869
Nizamabad,01-03-2016,March,2016,408
Nizamabad,01-04-2016,April,2016,476
Nizamabad,01-05-2016,May,2016,554
Nizamabad,01-06-2016,June,2016,367
Nizamabad,01-07-2016,July,2016,644
Nizamabad,01-08-2016,August,2016,589
Nizamabad,01-09-2016,September,2016,553
Nizamabad,01-10-2016,October,2016,434
Nizamabad,01-11-2016,November,2016,617
Nizamabad,01-12-2016,December,2016,355
Peddapalli,01-01-2016,January,2016,0
Peddapalli,01-02-2016,February,2016,0
Peddapalli,01-03-2016,March,2016,0
Peddapalli,01-04-2016,April,2016,0
Peddapalli,01-05-2016,May,2016,0
Peddapalli,01-06-2016,June,2016,0
Peddapalli,01-07-2016,July,2016,0
Peddapalli,01-08-2016,August,2016,0
Peddapalli,01-09-2016,September,2016,0
Peddapalli,01-10-2016,October,2016,950
Peddapalli,01-11-2016,November,2016,1145
Peddapalli,01-12-2016,December,2016,1149
Rajanna Sircilla ,01-01-2016,January,2016,0
Rajanna Sircilla ,01-02-2016,February,2016,0
Rajanna Sircilla ,01-03-2016,March,2016,0
Rajanna Sircilla ,01-04-2016,April,2016,0
Rajanna Sircilla ,01-05-2016,May,2016,0
Rajanna Sircilla ,01-06-2016,June,2016,0
Rajanna Sircilla ,01-07-2016,July,2016,0
Rajanna Sircilla ,01-08-2016,August,2016,0
Rajanna Sircilla ,01-09-2016,September,2016,0
Rajanna Sircilla ,01-10-2016,October,2016,534484
Rajanna Sircilla ,01-11-2016,November,2016,864077
Rajanna Sircilla ,01-12-2016,December,2016,778240
Ranga Reddy,01-01-2016,January,2016,0
Ranga Reddy,01-02-2016,February,2016,0
Ranga Reddy,01-03-2016,March,2016,0
Ranga Reddy,01-04-2016,April,2016,0
Ranga Reddy,01-05-2016,May,2016,0
Ranga Reddy,01-06-2016,June,2016,0
Ranga Reddy,01-07-2016,July,2016,0
Ranga Reddy,01-08-2016,August,2016,0
Ranga Reddy,01-09-2016,September,2016,0
Ranga Reddy,01-10-2016,October,2016,0
Ranga Reddy,01-11-2016,November,2016,0
Ranga Reddy,01-12-2016,December,2016,0
Sangareddy ,01-01-2016,January,2016,0
Sangareddy ,01-02-2016,February,2016,0
Sangareddy ,01-03-2016,March,2016,0
Sangareddy ,01-04-2016,April,2016,0
Sangareddy ,01-05-2016,May,2016,0
Sangareddy ,01-06-2016,June,2016,0
Sangareddy ,01-07-2016,July,2016,0
Sangareddy ,01-08-2016,August,2016,0
Sangareddy ,01-09-2016,September,2016,0
Sangareddy ,01-10-2016,October,2016,274000
Sangareddy ,01-11-2016,November,2016,349000
Sangareddy ,01-12-2016,December,2016,155000
Siddipet,01-01-2016,January,2016,0
Siddipet,01-02-2016,February,2016,0
Siddipet,01-03-2016,March,2016,0
Siddipet,01-04-2016,April,2016,0
Siddipet,01-05-2016,May,2016,0
Siddipet,01-06-2016,June,2016,0
Siddipet,01-07-2016,July,2016,0
Siddipet,01-08-2016,August,2016,0
Siddipet,01-09-2016,September,2016,0
Siddipet,01-10-2016,October,2016,123500
Siddipet,01-11-2016,November,2016,154400
Siddipet,01-12-2016,December,2016,80500
Suryapet,01-01-2016,January,2016,0
Suryapet,01-02-2016,February,2016,0
Suryapet,01-03-2016,March,2016,0
Suryapet,01-04-2016,April,2016,0
Suryapet,01-05-2016,May,2016,0
Suryapet,01-06-2016,June,2016,0
Suryapet,01-07-2016,July,2016,0
Suryapet,01-08-2016,August,2016,0
Suryapet,01-09-2016,September,2016,0
Suryapet,01-10-2016,October,2016,0
Suryapet,01-11-2016,November,2016,0
Suryapet,01-12-2016,December,2016,0
Vikarabad,01-01-2016,January,2016,0
Vikarabad,01-02-2016,February,2016,0
Vikarabad,01-03-2016,March,2016,0
Vikarabad,01-04-2016,April,2016,0
Vikarabad,01-05-2016,May,2016,0
Vikarabad,01-06-2016,June,2016,0
Vikarabad,01-07-2016,July,2016,0
Vikarabad,01-08-2016,August,2016,0
Vikarabad,01-09-2016,September,2016,0
Vikarabad,01-10-2016,October,2016,0
Vikarabad,01-11-2016,November,2016,0
Vikarabad,01-12-2016,December,2016,0
Wanaparthy ,01-01-2016,January,2016,0
Wanaparthy ,01-02-2016,February,2016,0
Wanaparthy ,01-03-2016,March,2016,0
Wanaparthy ,01-04-2016,April,2016,0
Wanaparthy ,01-05-2016,May,2016,0
Wanaparthy ,01-06-2016,June,2016,0
Wanaparthy ,01-07-2016,July,2016,0
Wanaparthy ,01-08-2016,August,2016,0
Wanaparthy ,01-09-2016,September,2016,0
Wanaparthy ,01-10-2016,October,2016,21234
Wanaparthy ,01-11-2016,November,2016,18348
Wanaparthy ,01-12-2016,December,2016,20556
Warangal (Rural),01-01-2016,January,2016,0
Warangal (Rural),01-02-2016,February,2016,0
Warangal (Rural),01-03-2016,March,2016,0
Warangal (Rural),01-04-2016,April,2016,0
Warangal (Rural),01-05-2016,May,2016,0
Warangal (Rural),01-06-2016,June,2016,0
Warangal (Rural),01-07-2016,July,2016,0
Warangal (Rural),01-08-2016,August,2016,0
Warangal (Rural),01-09-2016,September,2016,0
Warangal (Rural),01-10-2016,October,2016,8200
Warangal (Rural),01-11-2016,November,2016,6050
Warangal (Rural),01-12-2016,December,2016,5150
Warangal (Urban),01-01-2016,January,2016,1985815
Warangal (Urban),01-02-2016,February,2016,20703778
Warangal (Urban),01-03-2016,March,2016,568397
Warangal (Urban),01-04-2016,April,2016,317643
Warangal (Urban),01-05-2016,May,2016,373788
Warangal (Urban),01-06-2016,June,2016,365332
Warangal (Urban),01-07-2016,July,2016,340320
Warangal (Urban),01-08-2016,August,2016,368755
Warangal (Urban),01-09-2016,September,2016,379210
Warangal (Urban),01-10-2016,October,2016,128247
Warangal (Urban),01-11-2016,November,2016,129250
Warangal (Urban),01-12-2016,December,2016,127500
Yadadri Bhongir,01-01-2016,January,2016,0
Yadadri Bhongir,01-02-2016,February,2016,0
Yadadri Bhongir,01-03-2016,March,2016,0
Yadadri Bhongir,01-04-2016,April,2016,0
Yadadri Bhongir,01-05-2016,May,2016,0
Yadadri Bhongir,01-06-2016,June,2016,0
Yadadri Bhongir,01-07-2016,July,2016,0
Yadadri Bhongir,01-08-2016,August,2016,0
Yadadri Bhongir,01-09-2016,September,2016,0
Yadadri Bhongir,01-10-2016,October,2016,584800
Yadadri Bhongir,01-11-2016,November,2016,681000
Yadadri Bhongir,01-12-2016,December,2016,462800
Adilabad,01-01-2017,January,2017,318799
Adilabad,01-02-2017,February,2017,83316
Adilabad,01-03-2017,March,2017,27508
Adilabad,01-04-2017,April,2017,13946
Adilabad,01-05-2017,May,2017,11752
Adilabad,01-06-2017,June,2017,26859
Adilabad,01-07-2017,July,2017,52386
Adilabad,01-08-2017,August,2017,34876
Adilabad,01-09-2017,September,2017,42699
Adilabad,01-10-2017,October,2017,41666
Adilabad,01-11-2017,November,2017,117322
Adilabad,01-12-2017,December,2017,54251
Bhadradri Kothagudem ,01-01-2017,January,2017,302315
Bhadradri Kothagudem ,01-02-2017,February,2017,251359
Bhadradri Kothagudem ,01-03-2017,March,2017,243943
Bhadradri Kothagudem ,01-04-2017,April,2017,667459
Bhadradri Kothagudem ,01-05-2017,May,2017,311626
Bhadradri Kothagudem ,01-06-2017,June,2017,351742
Bhadradri Kothagudem ,01-07-2017,July,2017,258114
Bhadradri Kothagudem ,01-08-2017,August,2017,316438
Bhadradri Kothagudem ,01-09-2017,September,2017,381784
Bhadradri Kothagudem ,01-10-2017,October,2017,334504
Bhadradri Kothagudem ,01-11-2017,November,2017,281515
Bhadradri Kothagudem ,01-12-2017,December,2017,393518
Hyderabad,01-01-2017,January,2017,1924695
Hyderabad,01-02-2017,February,2017,1886698
Hyderabad,01-03-2017,March,2017,1783903
Hyderabad,01-04-2017,April,2017,2366793
Hyderabad,01-05-2017,May,2017,2266793
Hyderabad,01-06-2017,June,2017,2007060
Hyderabad,01-07-2017,July,2017,1890870
Hyderabad,01-08-2017,August,2017,1976980
Hyderabad,01-09-2017,September,2017,2011280
Hyderabad,01-10-2017,October,2017,2202316
Hyderabad,01-11-2017,November,2017,1971438
Hyderabad,01-12-2017,December,2017,4871416
Jagtial ,01-01-2017,January,2017,174477
Jagtial ,01-02-2017,February,2017,159659
Jagtial ,01-03-2017,March,2017,323658
Jagtial ,01-04-2017,April,2017,330540
Jagtial ,01-05-2017,May,2017,468038
Jagtial ,01-06-2017,June,2017,418103
Jagtial ,01-07-2017,July,2017,247254
Jagtial ,01-08-2017,August,2017,386458
Jagtial ,01-09-2017,September,2017,143102
Jagtial ,01-10-2017,October,2017,248504
Jagtial ,01-11-2017,November,2017,348042
Jagtial ,01-12-2017,December,2017,393566
Jangaon ,01-01-2017,January,2017,12280
Jangaon ,01-02-2017,February,2017,12610
Jangaon ,01-03-2017,March,2017,8450
Jangaon ,01-04-2017,April,2017,9788
Jangaon ,01-05-2017,May,2017,12130
Jangaon ,01-06-2017,June,2017,13750
Jangaon ,01-07-2017,July,2017,16050
Jangaon ,01-08-2017,August,2017,15680
Jangaon ,01-09-2017,September,2017,15600
Jangaon ,01-10-2017,October,2017,16130
Jangaon ,01-11-2017,November,2017,16360
Jangaon ,01-12-2017,December,2017,16880
Jayashankar Bhoopalpally,01-01-2017,January,2017,96560
Jayashankar Bhoopalpally,01-02-2017,February,2017,96850
Jayashankar Bhoopalpally,01-03-2017,March,2017,81400
Jayashankar Bhoopalpally,01-04-2017,April,2017,90700
Jayashankar Bhoopalpally,01-05-2017,May,2017,91150
Jayashankar Bhoopalpally,01-06-2017,June,2017,93650
Jayashankar Bhoopalpally,01-07-2017,July,2017,94700
Jayashankar Bhoopalpally,01-08-2017,August,2017,118350
Jayashankar Bhoopalpally,01-09-2017,September,2017,112600
Jayashankar Bhoopalpally,01-10-2017,October,2017,115250
Jayashankar Bhoopalpally,01-11-2017,November,2017,116800
Jayashankar Bhoopalpally,01-12-2017,December,2017,723000
Jogulamba Gadwal ,01-01-2017,January,2017,214887
Jogulamba Gadwal ,01-02-2017,February,2017,481110
Jogulamba Gadwal ,01-03-2017,March,2017,155013
Jogulamba Gadwal ,01-04-2017,April,2017,131426
Jogulamba Gadwal ,01-05-2017,May,2017,131426
Jogulamba Gadwal ,01-06-2017,June,2017,160182
Jogulamba Gadwal ,01-07-2017,July,2017,160182
Jogulamba Gadwal ,01-08-2017,August,2017,131485
Jogulamba Gadwal ,01-09-2017,September,2017,123733
Jogulamba Gadwal ,01-10-2017,October,2017,152898
Jogulamba Gadwal ,01-11-2017,November,2017,188170
Jogulamba Gadwal ,01-12-2017,December,2017,214887
Kamareddy ,01-01-2017,January,2017,58
Kamareddy ,01-02-2017,February,2017,50
Kamareddy ,01-03-2017,March,2017,41
Kamareddy ,01-04-2017,April,2017,46
Kamareddy ,01-05-2017,May,2017,60
Kamareddy ,01-06-2017,June,2017,41
Kamareddy ,01-07-2017,July,2017,41
Kamareddy ,01-08-2017,August,2017,40
Kamareddy ,01-09-2017,September,2017,41
Kamareddy ,01-10-2017,October,2017,38
Kamareddy ,01-11-2017,November,2017,43
Kamareddy ,01-12-2017,December,2017,41
Karimnagar ,01-01-2017,January,2017,14425
Karimnagar ,01-02-2017,February,2017,10845
Karimnagar ,01-03-2017,March,2017,9625
Karimnagar ,01-04-2017,April,2017,8630
Karimnagar ,01-05-2017,May,2017,8890
Karimnagar ,01-06-2017,June,2017,10542
Karimnagar ,01-07-2017,July,2017,12350
Karimnagar ,01-08-2017,August,2017,10952
Karimnagar ,01-09-2017,September,2017,7576
Karimnagar ,01-10-2017,October,2017,8371
Karimnagar ,01-11-2017,November,2017,8705
Karimnagar ,01-12-2017,December,2017,13065
Khammam,01-01-2017,January,2017,132528
Khammam,01-02-2017,February,2017,115470
Khammam,01-03-2017,March,2017,101878
Khammam,01-04-2017,April,2017,135920
Khammam,01-05-2017,May,2017,138799
Khammam,01-06-2017,June,2017,138158
Khammam,01-07-2017,July,2017,105102
Khammam,01-08-2017,August,2017,129159
Khammam,01-09-2017,September,2017,140821
Khammam,01-10-2017,October,2017,155943
Khammam,01-11-2017,November,2017,110800
Khammam,01-12-2017,December,2017,137825
Komaram Bheem Asifabad,01-01-2017,January,2017,2241
Komaram Bheem Asifabad,01-02-2017,February,2017,2490
Komaram Bheem Asifabad,01-03-2017,March,2017,2767
Komaram Bheem Asifabad,01-04-2017,April,2017,3074
Komaram Bheem Asifabad,01-05-2017,May,2017,3416
Komaram Bheem Asifabad,01-06-2017,June,2017,3796
Komaram Bheem Asifabad,01-07-2017,July,2017,3713
Komaram Bheem Asifabad,01-08-2017,August,2017,3665
Komaram Bheem Asifabad,01-09-2017,September,2017,3934
Komaram Bheem Asifabad,01-10-2017,October,2017,14050
Komaram Bheem Asifabad,01-11-2017,November,2017,3627
Komaram Bheem Asifabad,01-12-2017,December,2017,4218
Mahabubabad ,01-01-2017,January,2017,13260
Mahabubabad ,01-02-2017,February,2017,13045
Mahabubabad ,01-03-2017,March,2017,9100
Mahabubabad ,01-04-2017,April,2017,9140
Mahabubabad ,01-05-2017,May,2017,10220
Mahabubabad ,01-06-2017,June,2017,10130
Mahabubabad ,01-07-2017,July,2017,10170
Mahabubabad ,01-08-2017,August,2017,12520
Mahabubabad ,01-09-2017,September,2017,13140
Mahabubabad ,01-10-2017,October,2017,13750
Mahabubabad ,01-11-2017,November,2017,13560
Mahabubabad ,01-12-2017,December,2017,13780
Mahbubnagar,01-01-2017,January,2017,446135
Mahbubnagar,01-02-2017,February,2017,805392
Mahbubnagar,01-03-2017,March,2017,178256
Mahbubnagar,01-04-2017,April,2017,208694
Mahbubnagar,01-05-2017,May,2017,214209
Mahbubnagar,01-06-2017,June,2017,179210
Mahbubnagar,01-07-2017,July,2017,179099
Mahbubnagar,01-08-2017,August,2017,215229
Mahbubnagar,01-09-2017,September,2017,180675
Mahbubnagar,01-10-2017,October,2017,196103
Mahbubnagar,01-11-2017,November,2017,259060
Mahbubnagar,01-12-2017,December,2017,426167
Mancherial,01-01-2017,January,2017,2937
Mancherial,01-02-2017,February,2017,3130
Mancherial,01-03-2017,March,2017,2775
Mancherial,01-04-2017,April,2017,1513
Mancherial,01-05-2017,May,2017,1424
Mancherial,01-06-2017,June,2017,2119
Mancherial,01-07-2017,July,2017,33591
Mancherial,01-08-2017,August,2017,26104
Mancherial,01-09-2017,September,2017,24297
Mancherial,01-10-2017,October,2017,37671
Mancherial,01-11-2017,November,2017,25737
Mancherial,01-12-2017,December,2017,30328
Medak ,01-01-2017,January,2017,523000
Medak ,01-02-2017,February,2017,543321
Medak ,01-03-2017,March,2017,548535
Medak ,01-04-2017,April,2017,554864
Medak ,01-05-2017,May,2017,556891
Medak ,01-06-2017,June,2017,561469
Medak ,01-07-2017,July,2017,575300
Medak ,01-08-2017,August,2017,632830
Medak ,01-09-2017,September,2017,696113
Medak ,01-10-2017,October,2017,765724
Medak ,01-11-2017,November,2017,842296
Medak ,01-12-2017,December,2017,926526
Medchal ,01-01-2017,January,2017,0
Medchal ,01-02-2017,February,2017,0
Medchal ,01-03-2017,March,2017,0
Medchal ,01-04-2017,April,2017,0
Medchal ,01-05-2017,May,2017,0
Medchal ,01-06-2017,June,2017,0
Medchal ,01-07-2017,July,2017,0
Medchal ,01-08-2017,August,2017,0
Medchal ,01-09-2017,September,2017,0
Medchal ,01-10-2017,October,2017,0
Medchal ,01-11-2017,November,2017,0
Medchal ,01-12-2017,December,2017,0
Nagarkurnool ,01-01-2017,January,2017,382879
Nagarkurnool ,01-02-2017,February,2017,286258
Nagarkurnool ,01-03-2017,March,2017,184508
Nagarkurnool ,01-04-2017,April,2017,183697
Nagarkurnool ,01-05-2017,May,2017,183697
Nagarkurnool ,01-06-2017,June,2017,180010
Nagarkurnool ,01-07-2017,July,2017,180010
Nagarkurnool ,01-08-2017,August,2017,181861
Nagarkurnool ,01-09-2017,September,2017,118010
Nagarkurnool ,01-10-2017,October,2017,201050
Nagarkurnool ,01-11-2017,November,2017,188786
Nagarkurnool ,01-12-2017,December,2017,382879
Nalgonda,01-01-2017,January,2017,4447
Nalgonda,01-02-2017,February,2017,8652
Nalgonda,01-03-2017,March,2017,8054
Nalgonda,01-04-2017,April,2017,44295
Nalgonda,01-05-2017,May,2017,10750
Nalgonda,01-06-2017,June,2017,37879
Nalgonda,01-07-2017,July,2017,21361
Nalgonda,01-08-2017,August,2017,9363
Nalgonda,01-09-2017,September,2017,17465
Nalgonda,01-10-2017,October,2017,36066
Nalgonda,01-11-2017,November,2017,17687
Nalgonda,01-12-2017,December,2017,25897
Nirmal,01-01-2017,January,2017,340311
Nirmal,01-02-2017,February,2017,415326
Nirmal,01-03-2017,March,2017,442057
Nirmal,01-04-2017,April,2017,274132
Nirmal,01-05-2017,May,2017,297233
Nirmal,01-06-2017,June,2017,340359
Nirmal,01-07-2017,July,2017,328101
Nirmal,01-08-2017,August,2017,340430
Nirmal,01-09-2017,September,2017,528540
Nirmal,01-10-2017,October,2017,388644
Nirmal,01-11-2017,November,2017,369365
Nirmal,01-12-2017,December,2017,340585
Nizamabad,01-01-2017,January,2017,613
Nizamabad,01-02-2017,February,2017,1752
Nizamabad,01-03-2017,March,2017,660
Nizamabad,01-04-2017,April,2017,1048
Nizamabad,01-05-2017,May,2017,1341
